,Date,Location,Gender
0,05/12/2010,Hollenbeck,M
1,06/15/2010,Hollenbeck,M
2,06/29/2010,Hollenbeck,M
3,12/29/2014,Topanga,M
4,08/05/2010,Hollenbeck,M
5,08/05/2010,Hollenbeck,M
6,08/31/2010,Hollenbeck,M
7,09/22/2010,Hollenbeck,M
8,12/02/2010,Hollenbeck,M
9,01/01/2010,Harbor,M
10,01/10/2010,Harbor,M
11,01/11/2010,Harbor,M
12,01/26/2010,Harbor,M
13,01/28/2010,Harbor,M
14,01/28/2010,Harbor,M
15,02/02/2010,Harbor,M
16,02/11/2010,Harbor,M
17,02/20/2010,Harbor,M
18,03/02/2011,Harbor,M
19,02/25/2010,Harbor,M
20,03/06/2010,Harbor,M
21,03/10/2011,Wilshire,M
22,04/02/2010,Harbor,M
23,04/04/2010,Harbor,M
24,04/04/2010,Harbor,M
25,04/13/2010,Harbor,M
26,04/21/2010,Harbor,M
27,05/06/2010,Harbor,M
28,05/07/2010,Harbor,M
29,05/21/2010,Harbor,M
30,05/22/2010,Harbor,M
31,05/22/2010,Harbor,M
32,06/26/2010,Harbor,M
33,07/06/2010,Harbor,M
34,07/28/2010,Harbor,M
35,07/31/2010,Harbor,M
36,09/20/2010,Harbor,M
37,09/20/2010,Harbor,F
38,09/29/2010,Harbor,M
39,10/14/2010,Harbor,M
40,10/15/2010,Harbor,M
41,10/30/2010,Harbor,M
42,11/08/2010,Harbor,M
43,11/11/2010,Harbor,M
44,12/02/2010,Harbor,M
45,12/07/2010,Harbor,F
46,12/31/2010,Harbor,M
47,01/07/2010,Harbor,M
48,01/08/2010,Harbor,M
49,01/22/2010,Harbor,M
50,01/22/2010,Harbor,M
51,01/26/2010,Harbor,M
52,02/06/2010,Harbor,F
53,02/11/2010,Harbor,M
54,02/16/2010,Harbor,M
55,02/18/2010,Harbor,M
56,02/25/2010,Harbor,M
57,02/25/2010,Harbor,M
58,03/04/2010,Harbor,M
59,03/11/2010,Harbor,M
60,03/12/2010,Harbor,M
61,03/21/2010,Harbor,M
62,03/23/2010,Harbor,F
63,03/26/2010,Harbor,M
64,04/02/2010,Harbor,M
65,04/02/2010,Harbor,M
66,04/08/2010,Harbor,M
67,04/18/2010,Harbor,M
68,04/23/2010,Harbor,M
69,04/23/2010,Harbor,M
70,04/23/2010,Harbor,M
71,03/10/2011,Wilshire,F
72,04/29/2010,Harbor,M
73,05/04/2010,Harbor,M
74,05/25/2010,Harbor,M
75,06/02/2010,Harbor,M
76,06/17/2010,Harbor,M
77,07/04/2010,Harbor,F
78,07/14/2010,Harbor,M
79,07/27/2010,Harbor,F
80,07/31/2010,Harbor,M
81,08/15/2010,Harbor,M
82,08/29/2010,Harbor,M
83,09/03/2010,Harbor,M
84,09/11/2010,Harbor,F
85,09/14/2010,Harbor,M
86,09/23/2010,Harbor,M
87,10/16/2010,Harbor,M
88,10/16/2010,Harbor,M
89,03/10/2011,Wilshire,M
90,11/01/2010,Harbor,M
91,11/12/2010,Harbor,M
92,11/18/2010,Harbor,M
93,11/30/2010,Harbor,M
94,12/20/2010,Harbor,M
95,03/10/2011,Wilshire,M
96,02/11/2010,Hollywood,M
97,05/24/2010,Central,F
98,02/25/2010,Hollywood,M
99,03/02/2010,Hollywood,M
100,03/05/2010,Hollywood,F
101,03/11/2010,Hollywood,M
102,03/11/2010,Hollywood,M
103,03/28/2010,Hollywood,M
104,06/10/2010,Central,M
105,04/03/2010,Hollywood,M
106,04/08/2010,Hollywood,M
107,04/09/2010,Hollywood,M
108,04/13/2010,Hollywood,M
109,04/14/2010,Hollywood,M
110,05/01/2010,Hollywood,M
111,03/10/2011,Wilshire,M
112,08/26/2010,Central,M
113,11/25/2010,Central,F
114,07/24/2010,Hollywood,M
115,07/24/2010,Hollywood,M
116,07/25/2010,Hollywood,M
117,07/25/2010,Hollywood,M
118,08/01/2010,Hollywood,M
119,08/01/2010,Hollywood,M
120,08/10/2010,Hollywood,M
121,08/10/2010,Hollywood,M
122,01/08/2010,Central,M
123,10/06/2010,Hollywood,M
124,10/06/2010,Hollywood,M
125,10/10/2010,Hollywood,M
126,10/23/2010,Hollywood,M
127,12/16/2012,Olympic,M
128,01/06/2010,Wilshire,M
129,02/28/2010,Wilshire,M
130,03/24/2010,Wilshire,M
131,04/29/2010,Wilshire,M
132,12/31/2010,Wilshire,M
133,01/07/2010,Wilshire,M
134,01/08/2010,Wilshire,M
135,01/30/2010,Wilshire,F
136,02/09/2010,Wilshire,M
137,02/10/2010,Wilshire,M
138,02/25/2010,Wilshire,M
139,02/27/2010,Wilshire,M
140,03/01/2010,Wilshire,M
141,03/01/2010,Wilshire,M
142,03/13/2010,Wilshire,M
143,03/26/2010,Wilshire,M
144,03/31/2010,Wilshire,M
145,03/31/2010,Wilshire,M
146,03/31/2010,Wilshire,M
147,04/20/2010,Wilshire,M
148,06/04/2010,Wilshire,M
149,03/10/2011,Wilshire,M
150,05/10/2010,Wilshire,F
151,05/23/2010,Wilshire,M
152,05/31/2010,Wilshire,M
153,06/09/2010,Wilshire,M
154,06/14/2010,Wilshire,M
155,06/17/2010,Wilshire,M
156,06/21/2010,Wilshire,M
157,06/24/2010,Wilshire,M
158,07/06/2010,Wilshire,M
159,07/15/2010,Wilshire,F
160,07/22/2010,Wilshire,M
161,08/04/2010,Wilshire,M
162,08/18/2010,Wilshire,F
163,08/18/2010,Wilshire,M
164,09/06/2010,Wilshire,M
165,09/30/2010,Wilshire,M
166,09/30/2010,Wilshire,M
167,10/13/2010,Wilshire,M
168,10/27/2010,Wilshire,M
169,11/06/2010,Wilshire,F
170,03/10/2011,Wilshire,M
171,12/17/2010,Wilshire,M
172,03/12/2010,West LA,M
173,04/02/2010,West LA,M
174,05/23/2010,Wilshire,M
175,06/16/2010,West LA,M
176,11/30/2010,West LA,M
177,12/11/2010,West LA,M
178,01/23/2010,West LA,M
179,01/23/2010,West LA,M
180,01/25/2010,West LA,M
181,01/27/2010,West LA,M
182,01/27/2010,West LA,F
183,02/16/2010,West LA,M
184,02/18/2010,West LA,M
185,02/25/2010,West LA,M
186,02/25/2010,West LA,M
187,02/26/2010,West LA,M
188,02/27/2010,West LA,M
189,03/05/2010,West LA,M
190,03/05/2010,West LA,M
